z,theta_deg,r_l1_vox,r_um,k_inner,k_outer,n_in_pack,material
3312,30.0,102.4,1770,4,8,2,1
3312,30.0,161.8,2795,13,14,2,1
3312,30.0,190.2,3288,15,16,2,1
3312,30.0,232.6,4020,19,20,2,1
3312,30.0,249.6,4312,20,22,4,1
3312,30.0,257.9,4456,20,22,4,1
3312,30.0,266.2,4600,20,22,4,1
3312,30.0,292.5,5054,22,23,3,0
3312,30.0,310.5,5365,22,23,3,1
3312,30.0,347.6,6007,23,24,2,1
3312,30.0,384.5,6644,24,26,2,1
3312,30.0,523.5,9046,33,34,3,1
3312,30.0,536.0,9262,33,34,3,1
3312,30.0,690.5,11932,41,43,4,1
3312,30.0,703.8,12161,41,43,4,1
3312,30.0,717.0,12390,41,43,4,1
3312,30.0,741.7,12816,43,45,4,1
3312,30.0,753.1,13014,43,45,4,1
3312,30.0,764.6,13212,43,45,4,1
3312,30.0,785.2,13569,45,46,2,1
3312,30.0,999.5,17271,66,67,2,1
3312,36.0,14.5,251,0,1,2,1
3312,36.0,51.8,894,2,3,2,1
3312,36.0,79.9,1380,4,5,4,1
3312,36.0,88.2,1525,4,5,4,1
3312,36.0,96.6,1670,4,5,4,1
3312,36.0,139.5,2411,8,9,2,1
3312,36.0,156.2,2700,9,10,2,1
3312,36.0,186.8,3227,11,12,2,1
3312,36.0,226.5,3914,13,14,4,1
3312,36.0,237.5,4104,13,14,4,1
3312,36.0,248.5,4294,13,14,4,1
3312,36.0,272.7,4712,14,15,3,1
3312,36.0,285.8,4939,14,15,3,1
3312,36.0,310.5,5365,15,16,7,1
3312,36.0,322.0,5564,15,16,7,1
3312,36.0,333.5,5763,15,16,7,1
3312,36.0,345.0,5962,15,16,7,1
3312,36.0,356.5,6160,15,16,7,1
3312,36.0,368.0,6359,15,16,7,1
3312,36.0,401.8,6943,17,19,5,1
3312,36.0,413.1,7138,17,19,5,1
3312,36.0,424.4,7334,17,19,5,1
3312,36.0,435.7,7529,17,19,5,1
3312,36.0,466.5,8061,20,21,8,1
3312,36.0,477.0,8243,20,21,8,1
3312,36.0,487.5,8424,20,21,8,1
3312,36.0,498.0,8605,20,21,8,1
3312,36.0,508.5,8787,20,21,8,1
3312,36.0,519.0,8968,20,21,8,1
3312,36.0,529.5,9150,20,21,8,1
3312,36.0,549.5,9495,21,23,2,1
3312,36.0,603.0,10420,28,29,2,1
3312,36.0,667.8,11539,33,34,2,1
3312,36.0,809.8,13994,47,51,2,1
3312,36.0,829.2,14329,51,52,2,1
3312,36.0,898.8,15530,58,59,2,1
3312,36.0,987.0,17055,64,65,2,1
3312,36.0,1013.6,17515,65,68,2,1
3312,42.0,33.3,576,1,4,2,1
3312,42.0,49.0,847,4,5,2,1
3312,42.0,65.0,1123,5,6,4,1
3312,42.0,74.0,1279,5,6,4,1
3312,42.0,83.0,1434,5,6,4,1
3312,42.0,123.8,2140,9,10,2,1
3312,42.0,141.6,2447,10,13,2,1
3312,42.0,189.5,3275,16,17,2,1
3312,42.0,235.2,4065,20,21,5,1
3312,42.0,244.5,4225,20,21,5,1
3312,42.0,253.8,4385,20,21,5,1
3312,42.0,263.0,4545,20,21,5,1
3312,42.0,280.0,4839,21,23,2,1
3312,42.0,298.5,5157,23,26,9,1
3312,42.0,309.1,5341,23,26,9,1
3312,42.0,319.7,5525,23,26,9,0
3312,42.0,330.4,5708,23,26,9,1
3312,42.0,341.0,5892,23,26,9,1
3312,42.0,351.6,6076,23,26,9,1
3312,42.0,362.2,6260,23,26,9,1
3312,42.0,372.9,6443,23,26,9,1
3312,42.0,397.0,6860,26,27,2,1
3312,42.0,431.2,7452,28,30,3,1
3312,42.0,441.8,7633,28,30,3,1
3312,42.0,467.2,8074,30,32,4,1
3312,42.0,482.2,8333,30,32,4,1
3312,42.0,497.2,8591,30,32,4,1
3312,48.0,69.4,1199,4,6,2,1
3312,48.0,135.5,2341,12,14,2,1
3312,48.0,168.4,2909,16,17,5,1
3312,48.0,181.7,3140,16,17,5,1
3312,48.0,195.1,3370,16,17,5,1
3312,48.0,208.4,3601,16,17,5,0
3312,48.0,239.7,4142,17,19,5,1
3312,48.0,257.6,4452,17,19,5,1
3312,48.0,275.6,4762,17,19,5,1
3312,48.0,293.5,5073,17,19,5,1
3312,48.0,328.5,5676,19,20,3,1
3312,48.0,345.5,5970,19,20,3,1
3312,48.0,378.0,6532,20,21,2,1
3312,48.0,546.2,9439,32,35,2,1
3312,48.0,608.4,10513,38,39,2,1
3312,48.0,628.7,10864,39,41,2,1
3312,48.0,815.7,14095,61,62,3,1
3312,48.0,825.3,14262,61,62,3,1
3312,48.0,896.1,15484,69,72,2,1
3312,48.0,929.4,16060,74,75,2,1
3312,48.0,955.6,16513,75,77,2,1
3312,54.0,11.8,203,0,1,2,1
3312,54.0,66.8,1153,4,5,2,1
3312,54.0,165.8,2865,15,18,6,1
3312,54.0,182.2,3149,15,18,6,1
3312,54.0,198.7,3433,15,18,6,1
3312,54.0,215.1,3717,15,18,6,1
3312,54.0,231.6,4001,15,18,6,1
3312,54.0,309.8,5352,22,23,2,0
3312,54.0,374.2,6467,26,27,2,1
3312,54.0,489.4,8456,35,37,2,1
3312,54.0,527.8,9121,38,39,3,1
3312,54.0,537.2,9282,38,39,3,1
3312,54.0,635.4,10979,48,49,2,1
3312,54.0,650.3,11238,49,51,3,1
3312,54.0,658.9,11386,49,51,3,1
3312,54.0,698.8,12074,54,55,2,1
3312,54.0,846.6,14630,70,72,2,1
3312,54.0,923.5,15958,78,79,2,1
3312,60.0,39.2,678,2,5,2,1
3312,60.0,59.2,1022,5,6,3,1
3312,60.0,68.8,1189,5,6,3,1
3312,60.0,209.3,3617,21,22,3,1
3312,60.0,222.2,3839,21,22,3,1
3312,60.0,330.5,5711,27,28,2,1
3312,60.0,368.2,6363,29,30,2,1
3312,60.0,419.5,7249,32,33,2,1
3312,60.0,487.0,8415,38,39,2,1
3312,60.0,617.8,10676,51,53,3,1
3312,60.0,631.2,10907,51,53,3,1
3312,60.0,652.5,11275,53,57,2,1
3312,60.0,850.9,14704,76,77,2,1
3312,60.0,874.4,15110,77,81,4,1
3312,60.0,886.9,15326,77,81,4,1
3312,60.0,899.5,15543,77,81,4,1
3312,66.0,38.0,657,1,2,2,1
3312,66.0,54.9,948,2,3,4,1
3312,66.0,62.2,1076,2,3,4,1
3312,66.0,69.6,1203,2,3,4,1
3312,66.0,193.8,3348,15,16,2,1
3312,66.0,299.2,5171,26,27,2,1
3312,66.0,316.0,5460,27,28,2,1
3312,66.0,338.2,5845,28,29,2,1
3312,66.0,569.8,9845,53,54,2,1
3312,66.0,686.0,11854,66,67,2,1
3312,66.0,810.0,13997,80,81,2,1
3312,66.0,852.0,14723,83,85,3,1
3312,66.0,863.5,14921,83,85,3,1
3312,72.0,14.2,246,0,1,2,1
3312,72.0,39.2,678,2,3,2,1
3312,72.0,56.2,971,3,4,3,1
3312,72.0,65.8,1138,3,4,3,1
3312,72.0,109.0,1884,6,10,3,1
3312,72.0,120.1,2075,6,10,3,1
3312,72.0,142.3,2458,10,17,3,1
3312,72.0,153.4,2650,10,17,3,1
3312,72.0,174.7,3018,17,18,3,1
3312,72.0,184.8,3194,17,18,3,1
3312,72.0,256.7,4435,23,24,3,1
3312,72.0,265.3,4585,23,24,3,1
3312,72.0,350.6,6059,31,32,4,1
3312,72.0,356.8,6165,31,32,4,1
3312,72.0,362.9,6270,31,32,4,1
3312,72.0,375.6,6490,32,33,6,1
3312,72.0,382.2,6604,32,33,6,1
3312,72.0,388.8,6718,32,33,6,1
3312,72.0,395.3,6831,32,33,6,1
3312,72.0,401.9,6945,32,33,6,1
3312,72.0,786.8,13595,72,74,2,1
3312,72.0,826.1,14275,77,78,3,1
3312,72.0,835.2,14432,77,78,3,1
3312,72.0,877.6,15165,81,83,2,1
3312,78.0,106.9,1847,8,12,2,1
3312,78.0,156.0,2696,16,18,3,1
3312,78.0,167.0,2886,16,18,3,1
3312,78.0,236.0,4078,23,24,2,1
3312,78.0,341.6,5903,33,35,2,1
3312,78.0,371.8,6424,35,36,2,1
3312,78.0,434.6,7510,40,42,2,1
3312,78.0,494.5,8545,46,48,2,1
3312,78.0,625.2,10803,62,63,2,1
3312,78.0,645.7,11157,63,66,2,1
3312,78.0,701.8,12126,70,71,2,1
3312,78.0,722.2,12480,71,75,2,1
3312,78.0,802.8,13872,82,83,2,1
3312,84.0,72.6,1255,5,7,2,1
3312,84.0,316.7,5472,34,38,3,1
3312,84.0,330.6,5712,34,38,3,1
3312,84.0,358.1,6188,38,39,3,1
3312,84.0,371.7,6422,38,39,3,1
3312,84.0,554.9,9588,62,65,3,1
3312,84.0,564.4,9754,62,65,3,1
3312,84.0,586.8,10139,65,68,2,1
3312,84.0,703.2,12152,79,82,2,1
3312,84.0,806.1,13929,90,93,2,1
3312,90.0,61.8,1067,4,5,2,1
3312,90.0,83.9,1450,5,6,2,1
3312,90.0,270.1,4667,32,33,2,1
3312,90.0,337.0,5823,38,39,2,1
3312,90.0,411.3,7107,43,48,2,1
3312,90.0,551.0,9521,63,65,2,1
3312,90.0,575.3,9941,65,68,2,1
3312,90.0,631.5,10912,74,76,2,1
3312,90.0,652.1,11268,76,79,2,1
3312,90.0,731.0,12632,85,88,2,1
3312,90.0,784.0,13548,92,93,2,1
3312,96.0,127.5,2203,14,17,4,1
3312,96.0,134.5,2324,14,17,4,1
3312,96.0,141.5,2445,14,17,4,1
3312,96.0,156.2,2699,17,24,3,1
3312,96.0,163.8,2831,17,24,3,1
3312,96.0,221.9,3835,29,30,2,1
3312,96.0,307.5,5314,39,40,5,1
3312,96.0,319.5,5522,39,40,5,1
3312,96.0,331.6,5730,39,40,5,1
3312,96.0,343.6,5937,39,40,5,1
3312,96.0,369.6,6386,40,44,2,1
3312,96.0,393.8,6804,44,49,2,1
3312,96.0,522.6,9031,63,64,2,1
3312,96.0,573.0,9901,69,70,2,1
3312,96.0,645.3,11151,76,77,2,1
3312,96.0,663.8,11471,77,81,2,1
3312,96.0,712.1,12306,83,86,2,1
3312,102.0,67.5,1166,9,10,2,1
3312,102.0,116.2,2009,13,15,2,1
3312,102.0,132.8,2294,15,18,2,1
3312,102.0,312.2,5395,39,40,4,1
3312,102.0,322.9,5579,39,40,4,1
3312,102.0,333.6,5764,39,40,4,1
3312,102.0,402.2,6951,48,49,2,1
3312,102.0,421.5,7284,49,50,2,1
3312,102.0,509.1,8798,57,59,2,1
3312,102.0,572.6,9895,64,66,2,1
3312,102.0,633.9,10953,69,72,2,1
3312,102.0,661.5,11431,72,76,2,1
3312,102.0,701.2,12116,80,83,2,1
3312,102.0,753.5,13020,87,88,2,1
3312,108.0,13.7,236,0,3,2,1
3312,108.0,122.5,2117,12,13,2,1
3312,108.0,184.2,3184,20,21,2,1
3312,108.0,400.4,6920,43,47,2,1
3312,108.0,572.5,9892,62,66,2,1
3312,108.0,652.2,11270,74,78,2,1
3312,108.0,744.8,12869,87,88,2,1
3312,114.0,14.2,246,0,3,2,1
3312,114.0,34.8,600,3,4,2,1
3312,114.0,74.3,1284,6,7,3,1
3312,114.0,85.7,1480,6,7,3,1
3312,114.0,129.2,2233,10,11,2,1
3312,114.0,189.6,3277,17,19,2,1
3312,114.0,230.5,3983,22,23,2,1
3312,114.0,325.5,5625,33,34,2,1
3312,114.0,356.1,6153,35,36,2,1
3312,114.0,383.8,6633,36,39,2,1
3312,114.0,405.0,6998,39,42,2,1
3312,114.0,492.2,8506,50,51,2,1
3312,114.0,533.8,9223,54,55,2,1
3312,114.0,605.5,10464,61,63,2,1
3312,114.0,623.2,10768,63,66,2,1
3312,120.0,14.3,248,0,3,2,1
3312,120.0,67.5,1166,6,8,4,1
3312,120.0,79.5,1374,6,8,4,1
3312,120.0,91.5,1581,6,8,4,1
3312,120.0,373.0,6445,36,37,2,1
3312,120.0,395.4,6832,37,42,2,1
3312,120.0,678.5,11724,71,75,3,1
3312,120.0,688.5,11897,71,75,3,1
3312,126.0,324.5,5607,27,31,2,1
3312,126.0,348.8,6028,32,33,3,1
3312,126.0,356.7,6163,32,33,3,1
3312,126.0,386.1,6672,35,36,2,1
3312,126.0,525.6,9082,51,52,3,1
3312,126.0,532.2,9196,51,52,3,1
3312,126.0,546.2,9438,52,56,4,1
3312,126.0,553.6,9567,52,56,4,1
3312,126.0,561.1,9695,52,56,4,1
3312,126.0,612.5,10583,61,62,3,1
3312,126.0,619.9,10712,61,62,3,1
3312,126.0,637.1,11009,62,67,3,1
3312,126.0,646.8,11177,62,67,3,1
3312,132.0,21.2,367,1,3,2,1
3312,132.0,93.0,1607,8,9,2,1
3312,132.0,110.2,1905,9,10,2,1
3312,132.0,158.8,2743,13,14,2,1
3312,132.0,206.4,3567,16,19,2,1
3312,132.0,262.2,4532,23,24,2,1
3312,132.0,377.4,6522,34,37,2,1
3312,132.0,416.6,7199,39,41,2,1
3312,132.0,452.9,7826,43,44,2,1
3312,132.0,608.6,10517,59,61,2,1
3312,132.0,666.4,11516,64,66,3,1
3312,132.0,677.3,11704,64,66,3,1
3312,132.0,714.9,12353,69,70,2,1
3312,132.0,768.0,13271,75,76,2,1
3312,132.0,790.2,13656,76,77,2,1
3312,138.0,18.2,315,0,3,2,1
3312,138.0,43.2,747,3,5,2,1
3312,138.0,84.5,1460,7,8,2,1
3312,138.0,143.6,2482,12,14,2,1
3312,138.0,173.0,2989,15,16,2,1
3312,138.0,285.0,4925,23,24,3,1
3312,138.0,294.0,5080,23,24,3,1
3312,138.0,310.5,5365,24,25,2,1
3312,138.0,471.1,8141,40,41,2,1
3312,138.0,706.0,12200,63,64,2,1
3312,138.0,739.5,12779,66,68,2,1
3312,144.0,21.0,363,1,2,2,1
3312,144.0,52.5,907,3,4,2,1
3312,144.0,81.8,1413,4,5,2,1
3312,144.0,159.0,2748,8,9,2,1
3312,144.0,244.7,4228,13,14,3,1
3312,144.0,258.3,4464,13,14,3,1
3312,144.0,441.0,7620,29,30,2,1
3312,144.0,474.8,8204,31,32,2,1
3312,144.0,498.4,8612,32,33,2,1
3312,144.0,619.4,10703,44,45,2,1
3312,144.0,672.5,11621,50,51,2,1
3312,150.0,45.5,786,2,3,3,1
3312,150.0,59.5,1028,2,3,3,1
3312,150.0,87.5,1512,3,4,2,1
3312,150.0,118.0,2039,5,6,2,1
3312,150.0,137.8,2380,6,7,4,1
3312,150.0,149.0,2575,6,7,4,1
3312,150.0,160.2,2769,6,7,4,1
3312,150.0,196.0,3387,8,9,2,1
3312,150.0,232.6,4020,10,12,2,1
3312,150.0,270.8,4679,13,14,2,1
3312,150.0,374.0,6463,21,22,2,1
3312,150.0,412.2,7124,23,24,2,1
3312,150.0,434.6,7510,24,25,2,1
3312,150.0,453.6,7838,25,28,2,1
3312,150.0,498.9,8621,31,33,2,1
3312,150.0,516.5,8925,33,35,2,1
3312,150.0,569.2,9837,37,38,2,1
3312,150.0,606.2,10476,39,40,2,1
3312,150.0,750.7,12972,52,54,2,1
3312,150.0,776.3,13414,54,59,2,1
3312,150.0,808.8,13975,60,62,2,1
3312,156.0,47.2,816,2,3,2,1
3312,156.0,112.5,1944,5,6,3,1
3312,156.0,128.0,2212,5,6,3,1
3312,156.0,184.8,3192,8,9,2,1
3312,156.0,222.2,3840,10,11,2,1
3312,156.0,243.4,4206,11,12,4,1
3312,156.0,252.2,4359,11,12,4,1
3312,156.0,261.1,4512,11,12,4,1
3312,156.0,299.2,5171,14,15,2,1
3312,156.0,321.0,5547,15,17,3,1
3312,156.0,332.0,5737,15,17,3,1
3312,156.0,514.9,8897,31,32,4,1
3312,156.0,522.8,9033,31,32,4,1
3312,156.0,530.6,9169,31,32,4,1
3312,156.0,595.0,10282,37,38,2,1
3312,156.0,612.5,10584,38,39,2,1
3312,156.0,655.2,11323,42,44,2,1
3312,156.0,709.8,12264,48,50,2,1
3312,156.0,817.2,14121,59,60,3,1
3312,156.0,829.8,14340,59,60,3,1
3312,156.0,888.4,15351,62,63,2,1
3312,162.0,32.8,567,2,3,3,1
3312,162.0,46.7,806,2,3,3,1
3312,162.0,76.0,1313,3,4,2,1
3312,162.0,133.3,2304,8,9,3,1
3312,162.0,143.7,2483,8,9,3,1
3312,162.0,162.0,2799,9,10,2,1
3312,162.0,181.5,3136,10,11,4,1
3312,162.0,193.0,3335,10,11,4,1
3312,162.0,204.5,3534,10,11,4,1
3312,162.0,255.5,4415,14,15,2,1
3312,162.0,279.0,4821,15,18,2,1
3312,162.0,373.2,6450,24,25,2,1
3312,162.0,627.4,10841,41,42,2,1
3312,162.0,648.1,11199,42,44,3,1
3312,162.0,657.4,11360,42,44,3,1
3312,162.0,745.7,12885,52,54,3,1
3312,162.0,759.1,13117,52,54,3,1
3312,162.0,784.2,13552,54,55,2,1
3312,162.0,838.8,14495,59,60,3,1
3312,162.0,852.2,14725,59,60,3,1
3312,162.0,880.8,15219,60,61,2,1
3312,168.0,54.2,937,2,3,2,1
3312,168.0,149.5,2583,6,8,3,1
3312,168.0,166.8,2881,6,8,3,1
3312,168.0,227.2,3927,12,13,2,1
3312,168.0,263.3,4550,14,15,3,1
3312,168.0,274.7,4746,14,15,3,1
3312,168.0,296.9,5130,15,16,2,1
3312,168.0,330.0,5702,18,19,3,1
3312,168.0,342.0,5910,18,19,3,1
3312,168.0,498.0,8605,28,29,2,1
3312,168.0,578.2,9992,33,34,2,1
3312,168.0,616.0,10644,35,36,3,1
3312,168.0,628.5,10860,35,36,3,1
3312,168.0,681.8,11781,39,40,2,1
3312,168.0,719.7,12437,41,43,2,1
3312,168.0,813.8,14062,52,53,2,1
3312,168.0,924.9,15982,60,62,2,1
3312,174.0,25.2,436,1,2,6,1
3312,174.0,38.0,657,1,2,6,1
3312,174.0,50.8,877,1,2,6,1
3312,174.0,63.5,1097,1,2,6,1
3312,174.0,76.2,1318,1,2,6,1
3312,174.0,207.0,3577,10,11,3,1
3312,174.0,218.0,3767,10,11,3,1
3312,174.0,258.5,4467,12,13,3,1
3312,174.0,273.5,4726,12,13,3,1
3312,174.0,302.6,5229,13,14,4,1
3312,174.0,316.8,5473,13,14,4,1
3312,174.0,330.9,5718,13,14,4,1
3312,174.0,358.0,6186,14,15,2,1
3312,174.0,384.5,6644,15,16,3,1
3312,174.0,398.0,6877,15,16,3,1
3312,174.0,520.5,8994,24,25,2,1
3312,174.0,558.9,9657,26,27,2,1
3312,174.0,617.2,10666,31,32,2,1
3312,174.0,636.0,10990,32,33,3,1
3312,174.0,644.5,11137,32,33,3,1
3312,174.0,664.0,11474,33,34,2,1
3312,174.0,752.3,13000,42,43,3,1
3312,174.0,762.2,13170,42,43,3,1
3312,174.0,833.7,14406,50,53,2,1
3312,174.0,907.8,15686,58,59,2,1
3312,174.0,998.0,17245,65,66,2,1
3312,174.0,1028.2,17768,67,68,2,1
3312,174.0,1044.2,18045,68,69,2,1
3312,174.0,1062.5,18360,69,70,2,1
3312,174.0,1092.5,18878,71,72,2,1
3312,180.0,31.0,536,1,2,2,1
3312,180.0,166.9,2884,10,12,2,1
3312,180.0,212.5,3672,13,14,2,1
3312,180.0,313.4,5415,18,20,2,1
3312,180.0,346.5,5988,20,21,2,1
3312,180.0,383.0,6618,22,23,2,1
3312,180.0,403.5,6972,23,24,2,1
3312,180.0,563.5,9737,32,33,2,1
3312,180.0,635.0,10973,38,39,3,1
3312,180.0,647.0,11180,38,39,3,1
3312,180.0,670.2,11580,39,40,3,1
3312,180.0,681.3,11773,39,40,3,1
3312,180.0,703.0,12148,40,41,5,1
3312,180.0,713.5,12329,40,41,5,1
3312,180.0,724.0,12511,40,41,5,1
3312,180.0,734.5,12692,40,41,5,1
3312,180.0,755.8,13059,41,42,2,1
3312,180.0,808.5,13971,46,47,2,1
3312,180.0,877.0,15155,51,52,2,1
3312,180.0,923.1,15952,55,56,4,1
3312,180.0,931.8,16101,55,56,4,1
3312,180.0,940.4,16250,55,56,4,1
3312,180.0,957.2,16541,56,57,2,1
3312,180.0,1006.0,17384,60,61,2,1
3312,180.0,1093.8,18900,67,68,2,1
3312,180.0,1130.8,19539,70,71,2,1
3312,180.0,1151.7,19901,71,72,3,1
3312,180.0,1162.3,20085,71,72,3,1
3312,186.0,23.5,406,1,2,3,1
3312,186.0,36.5,631,1,2,3,1
3312,186.0,65.2,1128,2,3,2,1
3312,186.0,90.0,1555,3,4,2,1
3312,186.0,168.2,2907,9,10,2,1
3312,186.0,194.8,3365,10,11,2,1
3312,186.0,293.6,5073,18,19,12,1
3312,186.0,305.2,5273,18,19,12,1
3312,186.0,316.8,5473,18,19,12,1
3312,186.0,328.3,5674,18,19,12,1
3312,186.0,339.9,5874,18,19,12,1
3312,186.0,351.5,6074,18,19,12,1
3312,186.0,363.1,6274,18,19,12,1
3312,186.0,374.7,6474,18,19,12,1
3312,186.0,386.2,6674,18,19,12,1
3312,186.0,397.8,6875,18,19,12,1
3312,186.0,409.4,7075,18,19,12,1
3312,186.0,432.4,7471,19,20,4,1
3312,186.0,443.8,7668,19,20,4,1
3312,186.0,455.1,7865,19,20,4,1
3312,186.0,482.8,8342,20,21,3,1
3312,186.0,499.0,8623,20,21,3,1
3312,186.0,560.8,9691,24,26,4,1
3312,186.0,576.9,9968,24,26,4,1
3312,186.0,592.9,10246,24,26,4,1
3312,186.0,672.3,11618,28,29,3,1
3312,186.0,692.2,11961,28,29,3,1
3312,186.0,729.5,12606,29,30,12,1
3312,186.0,747.1,12910,29,30,12,1
3312,186.0,764.6,13213,29,30,12,1
3312,186.0,782.2,13516,29,30,12,1
3312,186.0,799.7,13819,29,30,12,1
3312,186.0,817.2,14122,29,30,12,1
3312,186.0,834.8,14425,29,30,12,1
3312,186.0,852.3,14728,29,30,12,1
3312,186.0,869.9,15031,29,30,12,0
3312,186.0,887.4,15335,29,30,12,1
3312,186.0,905.0,15638,29,30,12,1
3312,186.0,946.8,16360,31,32,2,0
3312,186.0,969.8,16757,32,33,2,0
3312,186.0,1003.8,17345,34,35,2,1
3312,186.0,1039.8,17967,37,38,2,1
3312,186.0,1053.2,18200,38,39,2,1
3312,186.0,1087.2,18788,42,43,2,1
3312,192.0,81.0,1400,4,5,4,1
3312,192.0,101.0,1745,4,5,4,1
3312,192.0,121.0,2091,4,5,4,1
3312,192.0,242.1,4184,11,12,4,1
3312,192.0,260.2,4497,11,12,4,1
3312,192.0,278.4,4810,11,12,4,1
3312,192.0,310.2,5361,12,13,2,1
3312,192.0,340.4,5882,13,14,5,1
3312,192.0,356.8,6166,13,14,5,1
3312,192.0,373.2,6449,13,14,5,1
3312,192.0,389.6,6732,13,14,5,1
3312,192.0,435.0,7517,15,16,2,1
3312,192.0,500.0,8640,19,20,6,1
3312,192.0,511.5,8839,19,20,6,1
3312,192.0,523.0,9037,19,20,6,1
3312,192.0,534.5,9236,19,20,6,1
3312,192.0,546.0,9435,19,20,6,1
3312,192.0,636.1,10992,25,26,4,1
3312,192.0,650.2,11236,25,26,4,1
3312,192.0,664.4,11480,25,26,4,1
3312,192.0,690.7,11935,26,27,3,1
3312,192.0,702.8,12145,26,27,3,1
3312,192.0,900.2,15556,40,41,2,1
3312,192.0,1058.7,18294,43,44,3,1
3312,192.0,1074.8,18573,43,44,3,1
3312,192.0,1127.2,19479,45,46,4,1
3312,192.0,1139.0,19682,45,46,4,1
3312,192.0,1150.8,19885,45,46,4,1
3312,192.0,1327.5,22939,59,60,2,1
3312,198.0,81.0,1400,5,6,3,1
3312,198.0,98.0,1693,5,6,3,1
3312,198.0,130.5,2255,6,7,2,1
3312,198.0,162.2,2804,7,8,2,1
3312,198.0,245.9,4249,13,16,2,1
3312,198.0,285.2,4928,16,18,3,1
3312,198.0,309.6,5350,16,18,3,1
3312,198.0,352.5,6091,18,19,2,1
3312,198.0,555.8,9605,28,29,3,1
3312,198.0,580.7,10034,28,29,3,1
3312,198.0,660.1,11407,30,32,2,1
3312,198.0,974.6,16842,47,48,4,0
3312,198.0,986.8,17051,47,48,4,0
3312,198.0,998.9,17261,47,48,4,1
3312,198.0,1035.5,17893,49,50,2,1
3312,198.0,1068.1,18457,50,51,2,1
3312,198.0,1109.1,19166,51,53,2,1
3312,204.0,66.3,1145,3,4,7,1
3312,204.0,79.6,1375,3,4,7,1
3312,204.0,92.9,1605,3,4,7,1
3312,204.0,106.1,1834,3,4,7,1
3312,204.0,119.4,2064,3,4,7,1
3312,204.0,132.7,2293,3,4,7,1
3312,204.0,199.4,3445,8,10,2,1
3312,204.0,219.8,3797,10,11,2,1
3312,204.0,242.5,4190,11,12,2,1
3312,204.0,282.1,4875,14,15,2,1
3312,204.0,328.5,5676,19,20,2,1
3312,204.0,383.1,6620,23,25,2,1
3312,204.0,459.0,7931,28,29,12,1
3312,204.0,474.0,8190,28,29,12,1
3312,204.0,488.9,8449,28,29,12,1
3312,204.0,503.9,8708,28,29,12,0
3312,204.0,518.9,8967,28,29,12,1
3312,204.0,533.9,9225,28,29,12,1
3312,204.0,548.9,9484,28,29,12,1
3312,204.0,563.8,9743,28,29,12,1
3312,204.0,578.8,10002,28,29,12,1
3312,204.0,593.8,10261,28,29,12,1
3312,204.0,608.8,10520,28,29,12,1
3312,204.0,639.6,11053,29,31,2,1
3312,204.0,704.0,12165,33,35,2,1
3312,204.0,731.8,12645,35,36,2,1
3312,204.0,820.0,14170,42,43,2,1
3312,204.0,871.5,15060,46,48,2,1
3312,204.0,906.3,15661,49,50,3,1
3312,204.0,919.2,15883,49,50,3,1
3312,204.0,1000.7,17292,55,56,3,1
3312,204.0,1011.8,17484,55,56,3,1
3312,204.0,1085.2,18753,60,61,2,1
3312,204.0,1105.2,19099,61,62,2,1
3312,204.0,1130.7,19538,63,64,3,1
3312,204.0,1139.3,19688,63,64,3,1
3312,204.0,1166.8,20162,65,67,7,1
3312,204.0,1175.8,20318,65,67,7,1
3312,204.0,1184.9,20474,65,67,7,1
3312,204.0,1193.9,20630,65,67,7,1
3312,204.0,1202.9,20787,65,67,7,0
3312,204.0,1212.0,20943,65,67,7,0
3312,210.0,66.5,1149,3,4,3,1
3312,210.0,81.0,1400,3,4,3,1
3312,210.0,113.8,1966,4,5,2,1
3312,210.0,158.8,2743,6,7,2,1
3312,210.0,217.2,3754,10,12,2,1
3312,210.0,370.2,6398,19,20,2,1
3312,210.0,415.5,7180,22,23,3,1
3312,210.0,428.5,7404,22,23,3,1
3312,210.0,666.8,11523,28,29,3,1
3312,210.0,682.2,11788,28,29,3,1
3312,210.0,723.2,12498,30,31,2,1
3312,210.0,838.8,14495,41,42,3,1
3312,210.0,849.2,14674,41,42,3,1
3312,210.0,962.2,16626,52,53,6,1
3312,210.0,971.3,16785,52,53,6,1
3312,210.0,980.5,16943,52,53,6,1
3312,210.0,989.7,17101,52,53,6,1
3312,210.0,998.8,17260,52,53,6,1
3312,210.0,1017.8,17588,53,54,3,1
3312,210.0,1027.7,17758,53,54,3,1
3312,210.0,1097.2,18960,58,59,4,1
3312,210.0,1109.5,19172,58,59,4,0
3312,210.0,1121.8,19384,58,59,4,0
3312,216.0,12.2,212,0,1,2,1
3312,216.0,76.1,1315,5,6,5,1
3312,216.0,88.2,1524,5,6,5,1
3312,216.0,100.3,1733,5,6,5,1
3312,216.0,112.4,1942,5,6,5,1
3312,216.0,188.9,3264,11,12,2,1
3312,216.0,254.4,4396,16,17,2,1
3312,216.0,306.3,5293,19,22,2,1
3312,216.0,330.1,5704,22,23,7,1
3312,216.0,341.1,5895,22,23,7,1
3312,216.0,352.2,6086,22,23,7,1
3312,216.0,363.3,6278,22,23,7,1
3312,216.0,374.4,6469,22,23,7,1
3312,216.0,385.4,6660,22,23,7,1
3312,216.0,525.2,9076,33,35,2,1
3312,216.0,573.2,9904,38,39,3,1
3312,216.0,583.8,10089,38,39,3,1
3312,216.0,605.4,10461,39,42,9,1
