z,theta_deg,k,r_l1_vox,conf
3248,264.0,49,652.0,1
3248,264.0,50,658.0,1
3248,288.0,48,659.0,1
3248,288.0,49,665.0,1
3248,318.0,59,791.0,1
3280,0.0,61,1142.0,1
3280,72.0,86,877.0,1
3280,138.0,77,870.5,2
3280,144.0,78,888.0,1
3280,198.0,69,1186.5,2
3280,204.0,63,1101.5,1
3280,204.0,64,1110.5,1
3280,204.0,65,1123.5,1
3280,204.0,66,1130.5,1
3280,204.0,67,1142.5,1
3280,204.0,68,1161.5,1
3280,204.0,69,1181.5,2
3280,204.0,70,1193.5,1
3280,228.0,51,720.0,1
3280,228.0,52,728.0,1
3280,228.0,53,736.0,1
3280,228.0,54,751.0,1
3280,228.0,55,769.0,1
3280,234.0,41,781.0,1
3280,240.0,49,782.0,1
3280,246.0,53,739.0,1
3280,312.0,48,761.0,1
3280,312.0,49,767.0,1
3280,330.0,56,841.5,1
3280,336.0,47,938.5,1
3280,336.0,48,951.5,1
3280,354.0,57,1154.0,1
3280,354.0,58,1166.0,1
3280,354.0,59,1173.0,1
3312,42.0,87,1045.0,1
3312,138.0,77,877.0,2
3312,144.0,72,923.0,1
3312,150.0,74,928.0,1
3312,330.0,62,814.0,1
3344,96.0,83,772.0,1
3344,108.0,83,770.0,1
3344,228.0,57,786.0,1
3344,228.0,58,801.0,1
3344,294.0,53,679.0,1
3344,354.0,70,1074.0,1
3344,354.0,71,1083.0,1
3376,6.0,74,1269.0,1
3376,12.0,78,1273.0,1
3376,78.0,72,829.0,1
3376,78.0,73,836.0,1
3376,96.0,79,762.0,1
3376,144.0,74,902.0,1
3376,174.0,62,1037.0,1
3376,228.0,59,821.0,1
3376,228.0,60,829.0,1
3376,318.0,55,712.0,1
3376,348.0,49,1056.0,1
3376,348.0,50,1072.0,1
3376,354.0,62,1073.0,1
3376,354.0,63,1082.0,1
3408,90.0,80,812.0,1
3408,150.0,74,967.5,1
3408,174.0,66,1045.5,1
3408,228.0,56,844.5,1
3408,270.0,54,761.0,1
3408,270.0,55,777.0,1
3408,330.0,60,877.5,1
3408,354.0,59,1035.0,2
3440,24.0,93,1212.5,1
3440,24.0,94,1219.5,1
3440,24.0,95,1235.5,1
3440,102.0,79,800.0,1
3440,162.0,83,1039.0,1
3440,186.0,68,1269.0,1
3440,186.0,69,1275.0,1
3440,204.0,63,1151.0,1
3440,228.0,62,859.0,1
3440,240.0,59,750.0,1
3440,240.0,60,759.0,1
3440,240.0,61,765.0,1
3440,246.0,55,723.0,1
3440,282.0,58,834.0,1
3440,306.0,65,695.5,1
3440,348.0,62,980.0,1
3440,348.0,63,992.0,1
3440,354.0,57,1000.0,1
3440,354.0,58,1015.0,1
3440,354.0,59,1047.0,2
3472,84.0,83,827.0,1
3472,102.0,82,769.0,1
3472,162.0,79,1039.0,1
3472,234.0,60,816.0,1
3472,234.0,61,823.0,1
3472,270.0,59,875.0,1
3472,330.0,56,781.0,1
3472,330.0,57,797.0,1
3472,330.0,58,817.0,1
3472,330.0,59,827.0,1
3472,342.0,59,769.0,1
3472,342.0,60,786.0,1
3504,174.0,82,1126.5,1
3504,192.0,66,1293.0,1
3504,330.0,70,754.0,1
3504,330.0,71,764.0,1
3504,336.0,57,765.0,1
3504,348.0,64,885.0,1
3536,42.0,62,1025.5,1
3536,42.0,63,1033.5,1
3536,96.0,77,833.0,1
3536,180.0,78,1279.0,1
3536,186.0,94,1341.0,1
3536,204.0,68,1094.0,1
3536,204.0,69,1104.0,1
3536,204.0,70,1119.0,1
3536,234.0,67,895.0,1
3536,270.0,66,832.0,1
3536,270.0,67,839.0,1
3536,270.0,68,849.0,1
3536,348.0,61,1033.5,1
3536,354.0,81,1121.5,1
3536,354.0,82,1155.5,1
3568,0.0,74,1298.5,1
3568,42.0,64,1019.0,1
3568,138.0,80,867.5,1
3568,204.0,77,1101.5,1
3568,204.0,78,1109.5,1
3568,204.0,79,1129.5,1
3568,204.0,80,1142.5,1
3568,210.0,63,1004.5,1
3568,216.0,53,957.5,1
3568,234.0,62,923.5,1
3568,270.0,55,856.0,1
3568,312.0,47,718.0,1
3568,312.0,48,728.0,1
3568,318.0,36,688.0,1
3568,318.0,37,709.0,1
3568,348.0,70,1073.0,1
3600,6.0,83,1284.5,1
3600,24.0,71,1091.0,1
3600,24.0,72,1099.0,1
3600,30.0,59,964.0,1
3600,30.0,60,971.0,1
3600,30.0,61,981.0,1
3600,36.0,64,969.5,1
3600,42.0,55,1016.0,1
3600,132.0,81,845.0,1
3600,138.0,74,876.0,1
3600,174.0,74,1129.5,1
3600,198.0,83,1222.0,1
3600,198.0,84,1231.0,1
3600,198.0,85,1246.0,1
3600,210.0,64,1009.0,1
3600,270.0,59,850.0,1
3600,318.0,43,689.0,1
3600,342.0,59,941.0,1
3632,18.0,74,1176.5,1
3632,18.0,75,1186.5,1
3632,30.0,73,1017.5,2
3632,30.0,74,1025.5,1
3632,36.0,73,997.0,2
3632,96.0,61,837.0,1
3632,102.0,72,827.0,1
3632,108.0,69,825.0,1
3632,126.0,74,851.0,1
3632,132.0,79,853.5,1
3632,132.0,80,869.5,1
3632,144.0,76,905.0,1
3632,156.0,81,1058.0,1
3632,174.0,86,1127.0,1
3632,186.0,76,1320.0,1
3632,222.0,59,773.0,1
3632,222.0,60,781.0,1
3632,288.0,66,834.5,1
3632,294.0,55,832.5,1
3632,306.0,41,748.5,1
3632,318.0,55,720.0,1
3632,324.0,50,749.0,1
3632,324.0,51,764.0,1
3632,330.0,58,791.0,1
3632,330.0,59,812.0,1
3632,342.0,52,1018.0,1
3664,138.0,71,881.0,1
3664,144.0,65,924.5,1
3664,162.0,80,1121.0,1
3664,174.0,68,1172.0,1
3664,228.0,57,884.0,1
3664,288.0,58,811.0,1
3664,324.0,42,807.0,1
3664,324.0,43,815.0,1
3664,342.0,63,1037.5,1
3696,132.0,70,877.0,1
3696,138.0,69,914.0,1
3696,144.0,77,930.0,1
3696,156.0,79,1081.0,1
3696,186.0,69,1264.0,1
3696,186.0,70,1279.0,1
3696,198.0,84,1199.0,1
3696,228.0,70,861.0,1
3696,228.0,71,867.0,1
3696,228.0,72,874.0,1
3696,294.0,55,808.5,1
3696,342.0,53,1020.0,1
3728,114.0,71,840.5,1
3728,150.0,77,1020.5,1
3728,156.0,73,1085.0,1
3728,168.0,81,1188.5,1
3728,204.0,84,1042.0,1
3728,204.0,85,1055.0,1
3728,204.0,86,1067.0,1
3728,204.0,87,1074.0,1
3728,270.0,72,832.0,1
3728,282.0,75,816.0,1
3728,288.0,68,810.0,1
3728,318.0,53,839.0,1
3728,318.0,54,864.0,1
3760,24.0,76,1091.0,1
3760,36.0,67,943.0,1
3760,138.0,69,899.0,1
3760,150.0,83,1016.0,1
3760,162.0,78,1135.0,1
3760,204.0,78,1057.0,1
3760,270.0,62,842.0,1
3760,276.0,63,831.0,1
3760,282.0,64,822.0,1
3760,288.0,63,816.0,1
3760,342.0,69,1055.0,1
3760,348.0,77,1085.0,1
3792,138.0,70,904.0,1
3792,144.0,62,964.0,1
3792,150.0,74,1024.0,1
3792,150.0,75,1035.0,1
3792,228.0,74,914.0,1
3792,348.0,78,1066.0,1
3792,348.0,79,1073.0,1
3824,90.0,90,841.0,2
3824,90.0,91,847.0,2
3824,96.0,90,827.0,2
3824,96.0,91,834.0,2
3824,138.0,66,898.5,1
3824,144.0,63,963.5,1
3824,150.0,76,1042.5,1
3824,156.0,80,1114.5,1
3824,198.0,61,1076.0,1
3824,198.0,62,1085.0,1
3824,204.0,64,1043.5,1
3824,282.0,64,805.0,1
3824,306.0,84,830.0,1
3824,324.0,66,803.0,1
3856,36.0,67,948.5,1
3856,90.0,81,834.0,1
3856,90.0,82,844.0,1
3856,144.0,64,950.0,1
3856,150.0,62,1027.5,1
3856,162.0,65,1175.0,1
3856,222.0,59,905.0,1
3856,324.0,72,842.0,1
3856,324.0,73,848.0,1
3856,324.0,74,855.0,1
3856,324.0,75,864.0,1
3856,336.0,85,990.0,1
3856,348.0,91,1092.0,1
3888,36.0,95,942.0,1
3888,36.0,96,949.0,1
3888,150.0,59,1040.0,1
3888,162.0,71,1205.0,1
3888,168.0,68,1237.0,1
3888,174.0,61,1257.0,1
3888,192.0,60,1141.0,1
3888,222.0,67,969.0,1
3920,132.0,71,793.0,1
3920,198.0,68,1055.0,1
3920,198.0,69,1064.0,1
3920,204.0,72,1018.0,1
3920,204.0,73,1028.0,1
3920,216.0,67,880.5,1
3920,276.0,74,809.0,1
3952,12.0,74,1276.5,1
3952,12.0,75,1311.5,1
3952,36.0,65,917.0,1
3952,36.0,66,936.0,1
3952,42.0,76,913.0,1
3952,162.0,71,1226.0,1
3952,174.0,80,1265.0,1
3952,210.0,40,847.0,1
3952,240.0,72,931.0,1
3952,294.0,76,781.0,1
3984,156.0,68,1110.0,1
3984,264.0,74,844.0,1
3984,270.0,71,823.0,1
3984,330.0,79,949.5,1
3984,330.0,80,962.5,2
4016,234.0,66,950.0,1
4016,240.0,73,829.5,1
4016,240.0,74,846.5,1
4016,240.0,75,854.5,1
4016,240.0,76,866.5,1
4016,240.0,77,883.5,1
4016,270.0,69,817.5,2
4016,330.0,80,927.0,2
4016,330.0,81,950.0,1
4016,348.0,73,1174.0,1
4016,348.0,74,1180.0,1
4048,48.0,69,885.0,1
4048,132.0,70,831.0,1
4048,132.0,71,838.0,1
4048,132.0,72,844.0,1
4048,174.0,55,1199.0,1
4048,234.0,73,974.0,1
4048,240.0,66,858.0,1
4048,240.0,67,873.0,1
4048,240.0,68,882.0,1
4048,246.0,76,909.0,1
4048,252.0,80,883.0,1
4048,264.0,61,846.0,1
4048,270.0,69,835.0,2
4048,276.0,76,825.0,1
4048,282.0,67,815.0,1
4080,42.0,60,875.0,1
4080,42.0,61,884.0,1
4080,48.0,54,864.0,1
4080,54.0,62,872.0,1
4080,60.0,47,831.0,1
4080,60.0,48,855.0,1
4080,186.0,56,1087.5,1
4080,210.0,57,864.0,1
4080,210.0,58,879.0,1
4080,246.0,71,828.0,1
4080,258.0,68,836.0,1
4080,264.0,70,823.0,1
4080,270.0,74,813.0,1
4080,270.0,75,819.0,1
4080,276.0,65,818.0,1
4080,282.0,70,812.0,1
4080,288.0,77,799.5,1
4080,330.0,76,959.0,1
4080,348.0,81,1178.0,1
4112,30.0,68,1014.5,1
4112,60.0,54,848.5,1
4112,66.0,48,833.0,1
4112,174.0,67,1214.0,1
4112,210.0,54,914.0,1
4112,210.0,55,923.0,1
4112,270.0,62,757.0,1
4112,270.0,63,763.0,1
4112,270.0,64,775.0,1
4112,270.0,66,803.0,1
4112,282.0,73,801.0,1
4112,288.0,81,794.0,1
4112,306.0,72,822.0,1
4112,318.0,69,865.5,1
4112,324.0,78,903.0,1
4144,48.0,68,818.0,1
4144,48.0,69,825.0,1
4144,48.0,70,836.0,1
4144,48.0,71,857.0,1
4144,138.0,68,812.0,1
4144,138.0,69,818.0,1
4144,210.0,64,926.0,1
4144,234.0,78,956.0,1
4144,276.0,69,789.0,1
4144,282.0,79,792.0,1
4144,288.0,76,798.0,1
4144,294.0,88,802.0,1
4144,312.0,73,840.0,1
4176,54.0,64,813.0,1
4176,54.0,65,821.0,1
4176,240.0,73,905.0,1
4176,270.0,66,785.0,1
4176,276.0,77,785.0,1
4176,282.0,84,795.0,1
4176,288.0,71,808.5,1
4176,312.0,89,862.0,1
4208,210.0,74,963.0,1
4208,210.0,75,982.0,1
4208,210.0,76,997.0,1
4208,264.0,79,784.0,1
4208,282.0,86,780.0,1
4208,288.0,78,795.0,1
4208,294.0,80,813.0,1
4208,306.0,88,847.5,2
4240,18.0,80,973.0,1
4240,18.0,81,989.0,1
4240,18.0,82,1001.0,1
4240,18.0,83,1013.0,1
4240,30.0,71,948.0,1
4240,132.0,69,832.0,1
4240,156.0,88,1132.0,1
4240,210.0,77,1090.0,1
4240,222.0,93,930.0,1
4240,222.0,94,941.0,1
4240,264.0,78,785.0,1
4240,288.0,76,786.0,1
4240,288.0,77,800.0,2
4240,294.0,82,788.0,1
4240,294.0,83,800.0,1
4240,294.0,84,820.0,1
4240,306.0,86,842.0,1
4240,306.0,87,849.0,1
4240,306.0,88,857.0,2
4240,312.0,92,866.0,1
4240,312.0,93,882.0,1
4240,318.0,94,912.0,1
4240,324.0,89,945.0,1
4240,324.0,90,959.0,1
4272,42.0,75,907.5,1
4272,120.0,71,828.0,1
4272,120.0,72,840.0,1
4272,132.0,62,847.0,1
4272,132.0,63,860.0,1
4272,138.0,74,888.0,1
4272,138.0,75,896.0,1
4272,228.0,75,968.0,1
4272,282.0,69,762.0,1
4272,288.0,77,771.0,2
4272,288.0,78,784.0,1
4272,294.0,72,801.0,1
4272,294.0,73,807.0,1
4272,306.0,81,846.0,1
4272,330.0,89,989.0,1
4272,330.0,90,999.0,1
4304,48.0,69,868.0,1
4304,54.0,70,850.0,1
4304,66.0,74,806.0,1
4304,90.0,57,731.0,1
4304,126.0,71,829.0,1
4304,126.0,72,835.0,1
4304,126.0,73,847.0,1
4304,132.0,66,868.0,2
4304,138.0,66,908.0,2
4304,138.0,67,923.0,1
4304,150.0,76,1054.0,1
4304,150.0,77,1076.0,1
4304,150.0,78,1083.0,1
4304,222.0,86,912.0,1
4304,222.0,87,927.0,1
4304,342.0,98,1086.0,1
4304,348.0,87,1165.0,1
4336,24.0,62,957.0,1
4336,24.0,63,964.0,1
4336,54.0,68,844.0,1
4336,126.0,61,833.0,1
4336,126.0,62,840.0,1
4336,150.0,70,1064.5,1
4336,150.0,71,1087.5,2
4336,192.0,77,1019.5,1
4336,342.0,95,1073.5,1
4336,348.0,89,1134.0,2
4336,348.0,90,1143.0,1
4336,348.0,91,1161.0,1
4336,354.0,82,1278.5,1
4368,24.0,71,952.0,1
4368,54.0,51,815.5,2
4368,72.0,64,770.0,1
4368,72.0,65,777.0,1
4368,72.0,66,783.0,1
4368,108.0,47,736.0,1
4368,150.0,71,1059.0,2
4368,150.0,72,1085.0,1
4368,156.0,76,1181.5,1
4368,180.0,66,1093.0,1
4368,258.0,62,717.0,1
4368,336.0,88,992.5,1
4368,342.0,93,1058.5,1
4368,348.0,88,1133.5,1
4368,348.0,89,1156.5,2
4400,24.0,59,944.0,1
4400,54.0,51,790.0,2
4400,108.0,53,717.0,1
4400,108.0,54,726.0,1
4400,108.0,55,734.0,1
4400,126.0,42,769.5,1
4400,144.0,70,875.5,1
4400,150.0,73,1030.0,1
4400,162.0,76,1169.5,1
4400,192.0,76,1022.5,1
4400,192.0,77,1028.5,1
4400,216.0,78,907.0,1
4400,216.0,79,913.0,1
4400,258.0,66,678.0,1
4400,330.0,87,948.0,1
4400,336.0,93,997.0,1
4400,342.0,86,1066.0,1
4400,348.0,78,1146.0,1
4400,348.0,79,1168.0,1
4432,114.0,50,696.5,1
4432,114.0,51,704.5,1
4432,114.0,52,715.5,1
4432,126.0,43,740.5,1
4432,144.0,54,818.5,1
4432,144.0,55,838.5,1
4432,264.0,68,685.5,1
4432,270.0,71,669.5,1
4432,270.0,72,677.5,1
4432,330.0,84,958.5,1
4432,348.0,74,1190.0,1
4464,24.0,59,935.0,1
4464,24.0,60,944.0,1
4464,114.0,48,753.0,1
4464,114.0,49,765.0,1
4464,120.0,45,732.0,1
4464,120.0,46,740.0,1
4464,126.0,50,729.0,1
4464,126.0,51,737.0,1
4464,126.0,52,744.0,1
4464,126.0,53,751.0,1
4464,126.0,54,763.0,1
4464,126.0,55,775.0,1
4464,144.0,49,838.0,1
4464,144.0,50,848.0,1
4464,144.0,51,856.0,1
4464,162.0,64,1156.5,1
4464,162.0,65,1168.5,1
4464,162.0,66,1179.5,1
4464,180.0,49,1045.5,1
4464,180.0,50,1054.5,1
4464,180.0,51,1065.5,1
4464,318.0,77,841.0,1
4464,318.0,78,854.0,1
4464,330.0,89,925.0,1
4464,342.0,78,1053.0,1
4496,174.0,58,1107.0,1
4496,174.0,59,1119.0,1
4496,318.0,86,856.0,1
4496,324.0,81,891.0,1
4528,54.0,54,693.0,1
4528,132.0,49,755.0,1
4528,132.0,50,770.0,1
4528,132.0,51,779.0,1
4528,150.0,45,924.0,1
4528,156.0,62,1208.0,1
4528,174.0,61,1134.0,1
4528,216.0,67,822.0,1
4528,324.0,76,872.0,1
4560,24.0,74,919.5,1
4560,126.0,44,743.0,1
4560,156.0,51,1151.0,1
4560,192.0,60,1018.0,1
4560,234.0,72,765.0,1
4560,234.0,73,776.0,1
4560,288.0,81,733.0,1
4560,288.0,82,740.0,1
4560,306.0,83,799.0,1
4560,336.0,80,1010.0,1
4560,348.0,71,1173.5,1
4592,156.0,69,1154.0,1
4592,168.0,54,1141.0,1
4592,168.0,55,1150.0,1
4592,168.0,56,1164.0,1
4592,222.0,67,758.0,1
4592,222.0,68,768.0,1
4592,222.0,69,774.0,1
4592,312.0,78,796.0,1
4592,342.0,67,1040.5,1
4592,348.0,62,1148.0,1
4624,24.0,63,883.0,1
4624,120.0,56,780.0,1
4624,138.0,62,870.0,1
4624,138.0,63,878.0,1
4624,156.0,70,1162.0,1
4624,168.0,63,1168.0,1
4624,222.0,70,747.0,1
4624,240.0,66,683.0,1
4624,324.0,82,873.0,1
4656,18.0,61,956.0,1
4656,18.0,62,964.0,1
4656,24.0,60,823.5,1
4656,156.0,74,1136.0,1
4656,168.0,55,1182.0,1
4656,258.0,65,710.0,1
4656,288.0,70,722.0,1
4656,318.0,67,811.0,1
4656,318.0,68,829.0,1
4656,330.0,76,925.0,1
4656,330.0,77,936.0,1
4688,18.0,71,945.0,1
4688,18.0,72,954.0,1
4688,18.0,73,965.0,1
4688,24.0,61,828.0,1
4688,60.0,48,621.0,1
4688,156.0,71,1134.0,1
4688,222.0,64,756.0,1
4688,276.0,71,699.0,1
4688,276.0,72,705.0,1
4688,312.0,73,727.0,1
4688,342.0,72,1032.0,1
4720,24.0,75,897.0,1
4720,48.0,52,615.5,1
4720,60.0,49,601.5,1
4720,216.0,73,993.5,1
4720,222.0,72,748.0,1
4720,270.0,67,636.0,1
4720,270.0,68,651.0,2
4720,270.0,69,659.0,1
4720,270.0,70,669.0,1
4720,270.0,71,679.0,1
4720,276.0,68,685.0,2
4720,312.0,82,712.0,1
4720,318.0,80,745.0,1
4720,348.0,77,1111.0,1
4720,348.0,78,1120.0,1
4752,66.0,53,617.5,1
4752,168.0,56,1189.0,1
4752,174.0,52,1084.0,1
4752,210.0,73,1078.0,1
4752,276.0,69,617.5,1
4752,276.0,70,625.5,1
4752,276.0,71,637.5,1
4752,294.0,72,692.0,1
4784,0.0,77,1284.5,1
4784,24.0,57,916.5,1
4784,174.0,56,1092.0,1
4784,174.0,57,1098.0,1
4784,294.0,75,689.5,1
4784,306.0,78,725.0,1
4784,354.0,90,1276.0,1
4784,354.0,91,1293.0,1
4816,0.0,78,1266.0,1
4816,0.0,79,1273.0,1
4816,18.0,61,1176.0,1
4816,18.0,62,1187.0,1
4816,162.0,84,1219.0,1
4816,162.0,85,1228.0,1
4816,234.0,75,667.0,1
4816,270.0,72,635.0,1
4816,282.0,76,651.5,2
4816,288.0,76,664.0,2
4816,294.0,82,675.5,1
4816,336.0,77,906.5,1
4816,348.0,73,1054.5,1
4816,348.0,74,1069.5,1
4848,0.0,71,1232.0,1
4848,0.0,72,1243.0,1
4848,0.0,73,1251.0,1
4848,198.0,70,1053.0,1
4848,282.0,69,625.0,1
4848,282.0,70,634.0,1
4848,282.0,71,648.0,1
4848,348.0,70,1090.0,1
4848,354.0,86,1183.0,1
4848,354.0,87,1198.0,1
4848,354.0,88,1214.0,1
4848,354.0,89,1220.0,1
4880,114.0,64,710.0,1
4880,114.0,65,718.0,2
4880,120.0,65,702.0,2
4880,120.0,66,718.0,1
4880,186.0,72,1062.0,1
4880,186.0,73,1068.0,1
4912,114.0,71,677.0,1
4912,114.0,72,688.0,1
4912,120.0,70,713.0,1
4912,168.0,61,1171.0,1
4912,246.0,58,650.0,1
4944,108.0,64,668.5,1
4944,114.0,68,694.0,2
4944,114.0,69,700.0,2
4944,138.0,65,711.0,1
4944,138.0,66,720.0,1
4944,288.0,58,624.5,1
4976,108.0,66,663.0,1
4976,114.0,68,688.0,2
4976,114.0,69,696.0,2
4976,120.0,72,690.0,1
4976,120.0,73,702.0,1
4976,156.0,70,1181.0,1
4976,252.0,68,622.0,1
4976,318.0,61,715.0,1
4976,324.0,58,751.0,1
4976,324.0,59,760.0,2
4976,324.0,60,768.0,2
4976,330.0,60,805.0,2
4976,330.0,61,813.0,1
4976,342.0,58,980.0,1
5008,48.0,58,640.0,1
5008,102.0,66,638.0,1
5008,102.0,67,644.0,1
5008,120.0,71,683.0,1
5008,156.0,73,1187.5,1
5008,162.0,84,1321.0,1
5008,168.0,85,1244.0,1
5008,180.0,74,1080.0,1
5008,180.0,75,1087.0,1
5008,252.0,59,619.0,1
5008,324.0,59,735.0,2
5008,324.0,60,741.0,2
5008,324.0,61,753.0,1
5008,330.0,62,800.5,1
5040,24.0,62,888.5,1
5040,24.0,63,904.5,1
5040,108.0,61,667.5,1
5040,114.0,64,675.0,1
5040,150.0,59,697.5,1
5040,150.0,60,705.5,1
5040,180.0,81,1081.0,1
5040,210.0,72,991.5,1
5040,228.0,66,687.5,1
5040,258.0,61,606.0,1
5040,264.0,63,593.0,1
5040,300.0,64,617.5,2
5040,330.0,61,794.5,1
5072,228.0,74,683.0,1
5072,294.0,66,606.0,1
5072,300.0,64,617.0,2
5072,312.0,59,656.0,1
5072,318.0,60,690.0,1
5072,324.0,55,709.0,1
5072,324.0,56,721.0,1
5104,210.0,75,965.0,1
5104,228.0,76,697.5,1
5104,300.0,61,615.0,1
5104,306.0,57,630.0,1
5104,312.0,60,637.0,1
5104,312.0,61,656.0,1
5104,324.0,59,691.0,1
5104,324.0,60,709.0,1
5104,324.0,61,717.0,1
5104,324.0,62,723.0,1
5104,336.0,60,904.5,1
5104,336.0,61,931.5,1
5136,96.0,54,522.5,1
5136,162.0,92,1345.5,1
5136,168.0,86,1282.5,1
5136,210.0,64,928.5,1
5136,264.0,59,558.0,1
5136,264.0,60,571.0,1
5136,282.0,52,557.5,1
5136,282.0,53,574.5,1
5136,288.0,60,585.0,1
5136,300.0,62,596.5,1
5136,300.0,63,609.5,1
5136,312.0,63,629.0,1
5136,318.0,61,660.5,1
5136,330.0,59,830.0,1
5136,330.0,60,841.0,1
5168,30.0,72,726.0,1
5168,96.0,58,540.0,1
5168,168.0,81,1288.0,1
5168,168.0,82,1295.0,1
5168,210.0,75,937.5,1
5168,222.0,79,733.5,1
5168,246.0,65,618.5,1
5168,300.0,58,608.5,1
5168,330.0,64,853.5,2
5168,336.0,65,949.5,1
5200,30.0,68,725.0,1
5200,48.0,64,625.0,1
5200,156.0,71,1176.0,1
5200,330.0,64,856.0,2
5232,132.0,57,576.0,1
5232,138.0,58,589.0,1
5232,264.0,50,524.0,1
5232,270.0,47,503.5,1
5232,294.0,63,591.0,1
5232,330.0,73,868.5,1
5232,336.0,67,964.5,1
5264,60.0,65,622.0,1
5264,84.0,58,587.0,1
5264,84.0,59,593.0,1
5264,90.0,60,589.5,1
5264,204.0,75,1029.0,1
5264,204.0,76,1036.0,1
5264,276.0,46,432.0,1
5264,276.0,47,440.0,1
5264,294.0,57,584.5,1
5264,324.0,68,787.0,1
5296,60.0,70,627.0,1
5296,234.0,75,673.0,1
5296,270.0,48,418.0,1
5296,288.0,58,567.0,1
5328,60.0,65,628.5,2
5328,96.0,67,611.5,1
5328,138.0,65,638.0,2
5328,270.0,50,429.0,1
5360,60.0,65,624.0,2
5360,60.0,66,631.0,1
5360,126.0,65,599.0,1
5360,126.0,66,608.0,1
5360,132.0,62,598.0,1
5360,138.0,65,637.0,2
5360,138.0,66,646.0,1
5360,156.0,83,1176.0,1
5360,168.0,84,1251.5,1
5360,276.0,56,483.0,1
5392,102.0,69,587.0,1
5392,108.0,66,581.0,2
5392,114.0,65,555.0,1
5392,114.0,66,564.0,2
5392,114.0,67,581.0,2
5392,126.0,67,578.0,1
5392,132.0,64,614.0,1
5392,162.0,98,1309.0,1
5392,198.0,75,1059.5,1
5392,198.0,76,1073.5,1
5424,108.0,65,553.5,1
5424,108.0,66,569.5,2
5424,114.0,66,547.0,2
5424,114.0,67,553.0,2
5424,120.0,65,558.5,1
5424,126.0,70,569.0,2
5424,132.0,70,588.0,2
5424,132.0,71,605.0,1
5424,138.0,66,611.0,2
5424,138.0,67,627.0,2
5424,150.0,66,648.5,1
5424,168.0,88,1298.0,1
5456,12.0,70,1149.0,1
5456,12.0,71,1210.0,1
5456,108.0,68,552.0,1
5456,114.0,73,553.0,1
5456,120.0,71,559.0,1
5456,126.0,67,571.0,1
5456,126.0,68,587.0,1
5456,138.0,66,604.0,2
5456,138.0,67,613.0,2
5456,144.0,65,620.0,1
5456,150.0,62,648.0,1
5456,300.0,58,570.0,1
5456,300.0,59,583.0,1
5488,12.0,67,1098.5,1
5488,96.0,71,580.0,1
5488,108.0,66,547.0,2
5488,114.0,66,547.0,2
5488,120.0,66,540.0,2
5488,120.0,67,553.0,1
5488,126.0,61,565.0,1
5488,126.0,62,581.0,1
5488,132.0,63,574.0,2
5488,132.0,64,584.0,2
5488,132.0,65,598.0,1
5488,138.0,59,597.0,2
5488,138.0,60,608.0,2
5488,138.0,61,621.0,2
5488,144.0,59,622.0,2
5488,144.0,60,639.0,2
5488,144.0,61,648.0,2
5488,150.0,64,645.5,1
5488,168.0,79,1302.5,1
5488,234.0,55,630.0,1
5488,240.0,58,582.0,1
5488,240.0,59,589.0,1
5488,288.0,55,534.0,1
5488,288.0,56,547.0,1
5520,90.0,68,572.0,1
5520,108.0,67,540.0,2
5520,114.0,70,540.0,1
5520,126.0,58,548.0,1
5520,126.0,59,557.0,1
5520,132.0,63,574.0,2
5520,132.0,64,587.0,2
5520,168.0,76,1296.0,1
5520,234.0,50,636.0,1
5520,240.0,49,597.0,1
5520,276.0,55,507.0,1
5520,282.0,58,528.0,1
5520,300.0,58,558.0,1
5520,300.0,59,565.0,1
5520,330.0,48,725.0,1
5552,96.0,71,560.0,1
5552,108.0,67,543.0,2
5552,114.0,67,544.0,2
5552,120.0,65,549.0,1
5552,120.0,66,563.0,1
5552,126.0,60,559.0,1
5552,126.0,61,574.0,1
5552,138.0,64,582.0,1
5552,138.0,65,600.0,2
5552,138.0,66,612.0,1
5552,144.0,55,613.0,1
5552,144.0,56,633.0,1
5552,144.0,57,640.0,1
5552,150.0,64,649.0,1
5552,168.0,84,1307.0,1
5552,252.0,49,502.0,2
5552,270.0,55,513.0,1
5552,282.0,56,514.0,1
5584,90.0,73,575.0,1
5584,96.0,68,563.0,1
5584,108.0,68,546.0,1
5584,120.0,64,532.0,1
5584,138.0,65,575.0,2
5584,156.0,63,1141.0,1
5584,162.0,94,1324.0,1
5584,180.0,60,1192.5,1
5584,234.0,60,639.0,1
5584,252.0,49,483.0,2
5584,252.0,50,489.0,1
5584,270.0,52,498.0,1
5584,282.0,51,504.0,2
5584,288.0,51,513.0,2
5584,294.0,47,516.0,1
5584,294.0,48,524.0,1
5584,300.0,57,543.0,1
5584,330.0,42,690.0,1
5584,330.0,43,697.0,1
5584,330.0,44,704.0,1
5584,330.0,45,713.0,1
5584,330.0,46,721.0,1
5584,330.0,47,744.0,1
5584,336.0,52,860.0,1
5616,102.0,66,567.0,2
5616,162.0,88,1323.0,1
5616,288.0,47,493.0,1
5616,288.0,48,504.0,1
5616,294.0,45,505.0,1
5616,294.0,46,516.0,1
5616,300.0,53,517.0,1
5616,300.0,54,534.0,1
5648,96.0,61,560.0,1
5648,96.0,62,574.0,1
5648,96.0,63,582.0,1
5648,102.0,66,549.0,2
5648,108.0,64,532.0,2
5648,108.0,65,541.0,1
5648,108.0,66,558.0,2
5648,174.0,73,1302.0,1
